Jammu & Kashmir,Chandigarh,Jharkhand,Odisha,Chhattisgarh,Kerala,Karnataka,Assam,Gujarat,Bihar,A & N Islands,Uttarakhand,Manipur,Madhya Pradesh,Meghalaya,Himachal Pradesh,Tripura,Dadra & Nagar Haveli,Puducherry,Delhi,Punjab,Nagaland,Sikkim,Andhra Pradesh,West Bengal,Haryana,Tamil Nadu,Daman & Diu,Maharashtra,Rajasthan,Arunachal Pradesh,Uttar Pradesh,Telangana,Goa,Lakshadweep,Mizoram
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2787894479167,,,,
,,,,,,,,25.4394291875000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,24.9761914500000,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,23.9793688854167,,,,,,,,,,,,,,,,,,,
,,,,23.6368478125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,23.4597609375000,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,25.2278564622917,,,,,,,,,
,,,,,,25.5023126250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,37.3451578958333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.3612634375000,,,,,,
,,,,,,,20.7719570833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,22.0162420291667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,21.0418335166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,21.6868497291667,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,28.3777239791667,,,,,,,,,
,,,,,,,,,,,,,22.0551495416667,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3528362312500,,,,,,,,
,,22.0188056083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.3753021145833,,,,,,
,,,,26.4374649791667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,28.3304184145833,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,21.7769155625000,,,,,,,,,,,,,
,,,,,,,,,19.8679380000000,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,11.5183974291667,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,27.4490893200000,,,,,,,,,,,,
,,,,,,,,,,,,,,29.8625312500000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,21.4270039583333,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6298033333333,,,,,
,,,,,29.7487270791667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,24.1561651041667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,28.5726446666667,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9365079166667,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9904306520833,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8076900750000,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1375028333333,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3761949791667,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3575002083333,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1259254502083,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,23.0374710416667,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,23.2321167520833,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4439889583333,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7273337500000,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4690727625000,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,23.0656487708333,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,24.3888249166667,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8750718750000,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9448630854167,,,,
,,,,,,,,,,,,,,,,,,,,22.2544167000000,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6941939583333,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3698557416667,,,,
,,,,,,,,,,,,,,,,,,,,23.6248555708333,,,,,,,,,,,,,,,
,,,,,,19.9048938333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0034635416667,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.9589140750000,,,,,,
,,24.9839348333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,20.3792960416667,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,10.4812310229167,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16.1991525000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
