Non-High Focus States - Large,Non-High Focus States - Small & UT,High Focus States - Non-NE,High Focus States - Northeast
,,23.55221875,
,,23.61353648,
,,23.63630758,
,,23.63684781,
,,23.67891133,
,,23.72122063,
,,23.72930113,
,,23.73327506,
,,23.75716742,
,,23.82129106,
,,23.83867856,
,,23.88113121,
,,23.88718926,
,,23.89167581,
,,23.91813715,
,,23.92038752,
,,23.94048583,
,,23.97803523,
,,23.98531742,
,,24.04266298,
,,24.04773244,
,,24.04942034,
,,24.08747591,
,,24.13505447,
,,24.15633938,
,,24.18372089,
,,24.19681186,
,,24.21471763,
,,24.281158,
,,24.28396352,
,,24.28880873,
,,24.30118814,
,,24.36916933,
,,24.3970343,
,,24.51817985,
,,24.54290631,
,,24.56074023,
,,24.65423375,
,,24.66170393,
,,24.67140693,
,,24.6787499,
,,24.73380431,
,,24.77590275,
,,24.80830292,
,,24.82560359,
,,24.85264438,
,,24.85555958,
,,24.86863354,
,,24.87318997,
,,24.87563888,
,,24.94691565,
,,24.95580369,
,,24.97619145,
,,24.98393483,
,,24.98971794,
,,24.99459089,
,,25.02528694,
,,25.03027201,
,,25.06336759,
,,25.1974881,
,,25.31265296,
,,25.33986879,
,,25.379227,
,,25.41713287,
,,25.50503333,
,,25.53224427,
,,25.53936854,
,,25.58329489,
,,25.62894104,
,,25.65186948,
,,25.69022829,
,,25.72651917,
,,26.02112333,
,,26.10367146,
,,26.17583692,
,,26.29513448,
,,26.36126344,
,,26.37695813,
,,26.43746498,
,,26.54196915,
,,26.55285279,
,,26.62947831,
,,26.65436083,
,,26.82788375,
,,26.89098043,
,,26.95891408,
,,27.00740273,
,,27.03086646,
,,27.07318824,
,,27.09998163,
,,27.16995876,
,,27.25507485,
,,27.44567618,
,,27.52403689,
,,27.5536364,
,,27.63793406,
,,27.68685974,
,,27.7336773,
,,27.74289036,
,,27.78566234,
,,27.93618598,
,,28.28010994,
,,28.69867302,
,,28.97654604,
,,29.02136032,
,,29.11769241,
,,29.34009154,
,,29.39570379,
,,29.49437394,
,,29.54604518,
,,29.62146331,
,,30.06774569,
,,30.91386542,
,,31.17213867,
,,31.8203283,
